0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:36:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:38:24 +0530] "GET /Project_4/LoginCtl?operation=logout HTTP/1.1" 200 3547
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:38:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:38:32 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:38:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:38:34 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:38:34 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 5862
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:38:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:38:34 +0530] "GET /Project_4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:38:38 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3519
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:38:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:38:51 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:38:51 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3195
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:38:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:39:43 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 12721
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:39:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:39:51 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 12721
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:39:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:40:31 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 12721
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:40:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:45:20 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 12721
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:45:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:46:34 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 12721
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:46:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:53:03 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 12130
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:53:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:55:47 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3195
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:55:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:55:52 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 12721
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:55:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:59:25 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 12130
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:59:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:15:02:50 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 6985
0:0:0:0:0:0:0:1 - - [28/Jun/2022:15:02:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:15:48:36 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 3654
0:0:0:0:0:0:0:1 - - [28/Jun/2022:15:48:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:15:48:55 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jun/2022:15:48:55 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 12721
0:0:0:0:0:0:0:1 - - [28/Jun/2022:15:48:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:16:29:38 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 3654
0:0:0:0:0:0:0:1 - - [28/Jun/2022:16:29:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:16:30:02 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jun/2022:16:30:02 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 12721
0:0:0:0:0:0:0:1 - - [28/Jun/2022:16:30:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:16:32:20 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 8827
0:0:0:0:0:0:0:1 - - [28/Jun/2022:16:32:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:16:33:16 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 12644
0:0:0:0:0:0:0:1 - - [28/Jun/2022:16:33:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:17:26:11 +0530] "GET /Project_4/ctl/StudentListCtl HTTP/1.1" 200 3657
0:0:0:0:0:0:0:1 - - [28/Jun/2022:17:26:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
