0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:57:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:01:05 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3589
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:01:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:12:06 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:12:06 +0530] "GET /Project_4/ctl HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:12:21 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:12:21 +0530] "GET /Project_4/ctl HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:12:51 +0530] "GET /Project_4/ HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:12:54 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3195
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:12:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:13:01 +0530] "GET /Project_4/LoginCtl?operation=logout HTTP/1.1" 200 3547
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:13:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:13:12 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3583
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:13:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:13:17 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:13:17 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3195
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:13:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:13:24 +0530] "GET /Project_4/doc/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:13:24 +0530] "GET /Project_4/doc/overview-frame.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:13:24 +0530] "GET /Project_4/doc/allclasses-frame.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:13:24 +0530] "GET /Project_4/doc/overview-summary.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:13:24 +0530] "GET /Project_4/doc/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:13:24 +0530] "GET /Project_4/doc/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:13:24 +0530] "GET /Project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:13:24 +0530] "GET /Project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:13:24 +0530] "GET /Project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:13:28 +0530] "GET /Project_4/doc/com/raystec/project4/controller/CourseListCtl.html HTTP/1.1" 200 19974
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:13:28 +0530] "GET /Project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:13:31 +0530] "GET /Project_4/doc/com/raystec/Util/DataUtility.html HTTP/1.1" 200 19735
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:13:31 +0530] "GET /Project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:13:33 +0530] "GET /Project_4/doc/com/raystec/exception/DuplicateRecordException.html HTTP/1.1" 200 8647
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:13:33 +0530] "GET /Project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:13:36 +0530] "GET /Project_4/doc/com/raystec/exception/DatabaseException.html HTTP/1.1" 200 8522
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:13:36 +0530] "GET /Project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:13:38 +0530] "GET /Project_4/doc/com/raystec/project4/controller/ChangePasswordCtl.html HTTP/1.1" 200 21218
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:13:38 +0530] "GET /Project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:14:06 +0530] "GET /Project_4/doc/com/raystec/Bean/BaseBean.html HTTP/1.1" 200 19125
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:14:06 +0530] "GET /Project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:14:17 +0530] "GET /Project_4/doc/com/raystec/project4/controller/CollegeCtl.html HTTP/1.1" 200 20827
0:0:0:0:0:0:0:1 - - [19/Jul/2022:17:14:17 +0530] "GET /Project_4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 807
